| Name                      | Version         | License                                                          |
|---------------------------|-----------------|------------------------------------------------------------------|
| protobuf                  | 4.25.2          | 3-Clause BSD License                                             |
| asttokens                 | 2.4.1           | Apache 2.0                                                       |
| pydeck                    | 0.8.1b0         | Apache License 2.0                                               |
| overrides                 | 7.4.0           | Apache License, Version 2.0                                      |
| arrow                     | 1.3.0           | Apache Software License                                          |
| bleach                    | 6.1.0           | Apache Software License                                          |
| importlib-metadata        | 7.0.1           | Apache Software License                                          |
| importlib-resources       | 6.1.1           | Apache Software License                                          |
| json5                     | 0.9.14          | Apache Software License                                          |
| prometheus-client         | 0.19.0          | Apache Software License                                          |
| pyarrow                   | 14.0.2          | Apache Software License                                          |
| requests                  | 2.31.0          | Apache Software License                                          |
| streamlit                 | 1.30.0          | Apache Software License                                          |
| tenacity                  | 8.2.3           | Apache Software License                                          |
| tornado                   | 6.4             | Apache Software License                                          |
| types-python-dateutil     | 2.8.19.20240106 | Apache Software License                                          |
| tzdata                    | 2023.4          | Apache Software License                                          |
| websocket-client          | 1.7.0           | Apache Software License                                          |
| packaging                 | 23.2            | Apache Software License; BSD License                             |
| python-dateutil           | 2.8.2           | Apache Software License; BSD License                             |
| sniffio                   | 1.3.0           | Apache Software License; MIT License                             |
| matplotlib-inline         | 0.1.6           | BSD 3-Clause                                                     |
| Babel                     | 2.14.0          | BSD License                                                      |
| GitPython                 | 3.1.41          | BSD License                                                      |
| Jinja2                    | 3.1.3           | BSD License                                                      |
| MarkupSafe                | 2.1.3           | BSD License                                                      |
| Pygments                  | 2.17.2          | BSD License                                                      |
| Send2Trash                | 1.8.2           | BSD License                                                      |
| altair                    | 5.2.0           | BSD License                                                      |
| appnope                   | 0.1.3           | BSD License                                                      |
| click                     | 8.1.7           | BSD License                                                      |
| comm                      | 0.2.1           | BSD License                                                      |
| contourpy                 | 1.2.0           | BSD License                                                      |
| cycler                    | 0.12.1          | BSD License                                                      |
| decorator                 | 5.1.1           | BSD License                                                      |
| dill                      | 0.3.7           | BSD License                                                      |
| fastjsonschema            | 2.19.1          | BSD License                                                      |
| gitdb                     | 4.0.11          | BSD License                                                      |
| idna                      | 3.6             | BSD License                                                      |
| ipykernel                 | 6.29.0          | BSD License                                                      |
| ipython                   | 8.18.1          | BSD License                                                      |
| joblib                    | 1.3.2           | BSD License                                                      |
| jsonpointer               | 2.4             | BSD License                                                      |
| jupyter-events            | 0.9.0           | BSD License                                                      |
| jupyter-lsp               | 2.2.2           | BSD License                                                      |
| jupyter_client            | 8.6.0           | BSD License                                                      |
| jupyter_core              | 5.7.1           | BSD License                                                      |
| jupyter_server            | 2.12.5          | BSD License                                                      |
| jupyter_server_terminals  | 0.5.1           | BSD License                                                      |
| jupyterlab                | 4.0.10          | BSD License                                                      |
| jupyterlab_pygments       | 0.3.0           | BSD License                                                      |
| jupyterlab_server         | 2.25.2          | BSD License                                                      |
| kiwisolver                | 1.4.5           | BSD License                                                      |
| mistune                   | 3.0.2           | BSD License                                                      |
| multiprocess              | 0.70.15         | BSD License                                                      |
